duration,hour,day_of_year
4.0,14,130
21.0,17,130
6.0,21,130
7.0,22,130
17.0,22,130
4.0,23,130
7.0,23,130
3.0,0,131
14.0,3,131
10.0,6,131
27.0,6,131
4.0,10,131
13.0,13,131
26.0,17,131
2.0,17,131
6.0,18,131
10.0,18,131
8.0,18,131
18.0,19,131
7.0,19,131
9.0,20,131
10.0,21,131
13.0,1,132
12.0,4,132
16.0,7,132
4.0,8,132
11.0,8,132
9.0,9,132
15.0,10,132
3.0,10,132
29.0,11,132
4.0,13,132
39.0,14,132
16.0,16,132
9.0,20,132
4.0,0,133
15.0,5,133
14.0,12,133
7.0,13,133
7.0,13,133
15.0,16,133
15.0,20,133
5.0,22,133
4.0,22,133
10.0,23,133
10.0,1,134
14.0,8,134
6.0,8,134
46.0,8,134
8.0,9,134
15.0,12,134
5.0,14,134
3.0,14,134
15.0,17,134
10.0,18,134
11.0,21,134
25.0,1,135
6.0,2,135
3.0,4,135
15.0,12,135
5.0,16,135
13.0,17,135
19.0,8,136
45.0,9,136
10.0,13,136
7.0,14,136
18.0,14,136
14.0,7,137
35.0,20,138
7.0,13,140
9.0,17,140
6.0,21,140
12.0,7,142
13.0,14,142
12.0,19,142
11.0,3,143
26.0,3,143
14.0,13,143
11.0,2,144
26.0,4,144
5.0,10,144
32.0,12,144
5.0,15,144
38.0,6,145
10.0,7,145
16.0,8,145
20.0,20,145
19.0,6,148
9.0,0,150
12.0,6,150
5.0,7,150
12.0,11,150
10.0,12,150
26.0,14,150
38.0,15,150
13.0,18,150
9.0,18,150
24.0,6,151
14.0,11,152
11.0,21,152
22.0,8,153
12.0,18,153
37.0,19,153
9.0,4,154
10.0,8,154
18.0,4,155
6.0,11,155
9.0,12,155
13.0,13,155
22.0,6,156
7.0,8,156
24.0,8,157
15.0,9,157
16.0,14,158
21.0,8,159
11.0,16,159
10.0,0,160
12.0,0,160
26.0,1,160
5.0,3,160
11.0,5,160
10.0,8,160
4.0,8,160
9.0,20,160
12.0,6,161
17.0,8,161
27.0,19,161
11.0,5,162
28.0,9,162
40.0,10,162
5.0,11,162
9.0,13,162
29.0,18,162
22.0,22,164
11.0,16,165
18.0,4,166
27.0,6,167
10.0,7,169
4.0,10,169
38.0,19,169
9.0,11,170
9.0,12,170
23.0,6,171
9.0,15,172
16.0,23,172
16.0,4,174
12.0,8,174
6.0,11,174
14.0,6,175
11.0,11,175
10.0,12,175
9.0,4,176
7.0,4,176
2.0,6,176
3.0,7,176
4.0,11,176
4.0,11,176
8.0,19,176
19.0,12,177
48.0,14,178
10.0,17,179
5.0,13,181
24.0,15,182
11.0,10,183
12.0,20,184
12.0,7,185
19.0,14,186
11.0,19,186
23.0,22,188
18.0,19,189
13.0,21,189
9.0,21,189
5.0,21,189
27.0,22,189
3.0,23,189
8.0,11,190
7.0,12,190
14.0,5,191
15.0,5,192
19.0,9,192
20.0,11,192
13.0,12,192
12.0,15,192
14.0,4,193
3.0,4,193
3.0,4,193
8.0,6,193
23.0,2,195
21.0,12,195
31.0,14,195
3.0,15,195
5.0,19,195
17.0,22,195
15.0,1,196
11.0,2,196
3.0,3,196
8.0,4,196
4.0,10,196
7.0,20,196
16.0,3,197
16.0,9,197
5.0,10,197
3.0,10,197
12.0,2,198
13.0,7,198
15.0,13,198
18.0,21,198
20.0,21,198
13.0,6,199
7.0,7,199
19.0,9,199
11.0,19,199
5.0,19,199
10.0,10,200
7.0,10,200
10.0,8,201
13.0,17,201
7.0,22,201
10.0,7,202
13.0,18,202
9.0,3,203
6.0,8,203
13.0,16,203
7.0,23,203
6.0,3,204
9.0,3,204
20.0,4,204
4.0,9,204
13.0,12,204
39.0,13,205
14.0,7,206
14.0,17,206
17.0,0,207
10.0,15,207
11.0,2,208
12.0,4,208
16.0,2,209
34.0,5,209
6.0,6,209
24.0,10,209
4.0,10,209
16.0,17,209
15.0,18,209
12.0,1,210
4.0,1,210
11.0,3,210
15.0,10,210
7.0,12,210
36.0,13,210
18.0,18,210
11.0,20,210
23.0,1,211
4.0,2,211
10.0,5,211
6.0,12,211
8.0,12,211
42.0,14,211
17.0,19,211
5.0,20,211
11.0,0,212
5.0,1,212
2.0,1,212
5.0,1,212
13.0,6,212
16.0,16,212
10.0,19,212
13.0,19,212
7.0,1,213
16.0,5,213
18.0,6,213
20.0,12,213
6.0,13,213
21.0,16,213
32.0,18,213
10.0,19,213
19.0,21,213
8.0,22,213
8.0,0,214
2.0,0,214
3.0,1,214
8.0,2,214
10.0,3,214
6.0,4,214
4.0,5,214
46.0,6,214
9.0,6,214
2.0,8,214
6.0,8,214
28.0,11,214
4.0,12,214
2.0,12,214
11.0,16,214
4.0,16,214
3.0,16,214
3.0,17,214
7.0,17,214
10.0,20,214
8.0,23,214
7.0,1,215
8.0,3,215
5.0,3,215
32.0,4,215
8.0,7,215
2.0,8,215
8.0,9,215
6.0,9,215
5.0,12,215
6.0,13,215
9.0,15,215
17.0,23,215
5.0,0,216
14.0,4,216
13.0,6,216
19.0,7,216
17.0,13,216
5.0,16,216
13.0,17,216
10.0,18,216
13.0,19,216
14.0,1,217
9.0,9,217
13.0,9,217
5.0,10,217
23.0,10,217
4.0,15,217
7.0,22,217
9.0,2,218
10.0,5,218
12.0,9,218
16.0,13,218
9.0,15,218
6.0,17,218
17.0,18,218
13.0,2,219
6.0,1,220
9.0,2,220
5.0,4,220
20.0,13,220
23.0,18,220
17.0,0,221
74.0,3,221
18.0,11,221
8.0,12,221
4.0,12,221
7.0,13,221
34.0,19,221
5.0,22,221
36.0,10,222
10.0,11,222
5.0,12,222
8.0,12,222
10.0,20,222
13.0,21,222
13.0,21,222
7.0,23,222
10.0,0,223
23.0,2,223
8.0,4,223
35.0,14,223
5.0,15,223
9.0,0,224
2.0,1,224
5.0,5,224
21.0,19,224
18.0,23,224
10.0,22,225
7.0,7,226
4.0,17,226
7.0,22,226
18.0,23,226
29.0,3,227
40.0,6,227
8.0,13,227
5.0,15,227
13.0,3,228
11.0,13,229
9.0,14,229
9.0,10,230
22.0,11,230
11.0,21,230
9.0,21,230
14.0,1,231
9.0,4,231
15.0,7,231
15.0,20,231
14.0,23,231
8.0,9,232
11.0,21,232
16.0,22,232
11.0,4,233
2.0,17,233
9.0,5,234
9.0,21,234
4.0,8,235
7.0,10,235
21.0,1,236
10.0,3,236
6.0,4,236
7.0,13,236
13.0,14,236
12.0,16,236
10.0,19,236
5.0,19,236
4.0,20,236
12.0,0,237
12.0,18,237
13.0,19,237
18.0,21,237
6.0,23,237
13.0,11,239
13.0,9,240
6.0,2,243
7.0,12,243
11.0,0,244
12.0,2,244
7.0,8,244
12.0,12,244
10.0,7,245
97.0,11,245
6.0,16,245
3.0,18,245
5.0,19,245
7.0,20,245
11.0,22,245
8.0,5,246
14.0,13,246
9.0,13,246
14.0,19,246
6.0,20,246
26.0,22,246
10.0,7,247
11.0,15,247
5.0,16,247
12.0,2,248
7.0,4,248
6.0,5,248
4.0,6,248
13.0,13,248
19.0,19,248
3.0,0,249
13.0,3,249
7.0,3,249
9.0,8,249
2.0,9,249
16.0,9,249
5.0,13,249
92.0,6,251
23.0,15,252
155.0,0,253
12.0,5,253
5.0,5,253
9.0,8,253
9.0,9,253
30.0,9,253
6.0,12,253
10.0,16,253
41.0,23,253
13.0,15,254
12.0,23,254
9.0,12,255
9.0,15,255
6.0,15,255
10.0,17,255
8.0,17,255
23.0,23,255
9.0,3,256
6.0,4,256
14.0,6,256
12.0,9,256
8.0,13,256
12.0,14,256
10.0,14,256
13.0,18,256
51.0,21,256
3.0,23,256
10.0,0,257
8.0,1,257
6.0,2,257
3.0,4,257
2.0,4,257
18.0,6,257
5.0,7,257
23.0,8,257
12.0,14,257
7.0,17,257
8.0,20,257
81.0,3,258
15.0,7,258
16.0,15,258
28.0,23,260
27.0,21,266
33.0,14,267
15.0,22,269
8.0,19,270
14.0,22,270
45.0,5,273
4.0,12,273
15.0,14,273
10.0,14,273
22.0,23,274
11.0,14,275
25.0,18,275
22.0,21,275
9.0,1,276
8.0,2,276
8.0,5,276
5.0,6,276
16.0,13,276
17.0,19,276
24.0,20,276
11.0,2,277
19.0,3,277
18.0,8,277
6.0,8,277
2.0,9,277
3.0,12,277
10.0,12,277
3.0,17,277
3.0,19,277
19.0,20,277
2.0,21,277
2.0,23,277
8.0,0,278
19.0,4,278
4.0,5,278
5.0,10,278
9.0,20,278
7.0,22,278
5.0,0,279
9.0,8,279
7.0,8,279
7.0,20,279
10.0,23,279
9.0,0,280
17.0,1,280
7.0,15,280
4.0,16,280
7.0,18,280
27.0,20,280
35.0,18,281
11.0,19,281
88.0,19,281
2.0,1,282
8.0,8,282
31.0,1,283
5.0,5,283
3.0,15,283
13.0,22,283
14.0,11,284
9.0,12,284
3.0,12,284
9.0,16,284
36.0,21,284
16.0,15,285
26.0,16,285
35.0,22,285
13.0,0,288
15.0,13,288
11.0,2,289
4.0,2,289
6.0,10,289
18.0,18,289
5.0,18,289
7.0,3,290
2.0,3,290
3.0,3,290
8.0,3,290
18.0,4,290
15.0,13,290
13.0,14,290
9.0,14,290
10.0,2,291
12.0,4,291
8.0,17,292
11.0,19,292
15.0,23,292
8.0,6,293
7.0,14,293
59.0,9,295
27.0,3,298
7.0,10,298
10.0,7,299
26.0,5,300
47.0,6,300
14.0,11,300
7.0,11,300
12.0,14,300
19.0,23,301
10.0,3,302
3.0,14,302
15.0,16,302
12.0,16,303
24.0,20,304
36.0,2,305
7.0,3,305
15.0,9,305
13.0,12,305
13.0,13,305
10.0,18,305
7.0,21,305
8.0,21,305
11.0,21,305
8.0,22,305
11.0,2,306
28.0,9,306
13.0,12,306
13.0,14,306
11.0,7,307
18.0,8,307
9.0,3,308
10.0,8,308
5.0,15,308
5.0,15,308
15.0,17,308
5.0,0,309
35.0,1,309
7.0,3,309
9.0,4,309
3.0,4,309
6.0,7,309
11.0,8,309
10.0,10,309
9.0,11,309
23.0,14,309
8.0,15,309
7.0,15,309
2.0,15,309
19.0,6,310
12.0,9,310
11.0,13,310
21.0,13,310
21.0,15,310
10.0,2,311
7.0,3,311
28.0,7,311
2.0,8,311
8.0,11,311
6.0,12,311
4.0,13,311
11.0,14,311
7.0,15,311
8.0,17,311
6.0,18,311
7.0,20,311
22.0,22,311
6.0,23,311
4.0,23,311
22.0,23,311
12.0,1,312
28.0,3,312
6.0,7,312
7.0,7,312
8.0,7,312
9.0,11,312
17.0,14,312
8.0,2,313
6.0,20,314
11.0,0,315
15.0,11,315
7.0,15,315
12.0,20,315
22.0,22,315
19.0,5,316
7.0,5,316
74.0,12,317
11.0,0,318
11.0,16,318
9.0,1,320
13.0,12,320
11.0,1,321
21.0,10,322
9.0,5,323
7.0,7,323
3.0,7,323
17.0,10,323
6.0,11,323
8.0,11,323
11.0,12,323
6.0,17,323
30.0,18,323
3.0,20,323
10.0,23,323
37.0,19,325
4.0,15,327
49.0,21,327
13.0,15,328
21.0,17,328
19.0,19,328
11.0,20,329
20.0,1,330
14.0,4,330
18.0,7,330
11.0,12,330
29.0,16,330
9.0,16,330
30.0,20,330
10.0,21,330
7.0,2,332
19.0,12,332
8.0,9,339
15.0,20,339
8.0,20,339
13.0,6,340
8.0,8,340
8.0,10,340
20.0,9,341
8.0,13,342
22.0,21,342
16.0,8,343
11.0,16,343
15.0,3,345
12.0,6,345
6.0,7,345
7.0,10,345
7.0,14,345
4.0,17,345
10.0,5,346
9.0,6,346
3.0,10,346
17.0,15,346
12.0,17,347
9.0,20,347
9.0,2,348
7.0,3,348
11.0,11,348
9.0,14,348
7.0,6,349
13.0,9,350
9.0,20,350
17.0,10,354
7.0,15,354
4.0,18,354
6.0,7,355
8.0,10,355
3.0,11,355
5.0,0,356
7.0,22,356
7.0,4,357
8.0,14,357
10.0,20,357
21.0,2,358
5.0,6,358
6.0,11,358
5.0,0,359
20.0,1,359
13.0,8,359
8.0,14,359
9.0,16,359
4.0,18,359
13.0,20,359
10.0,22,359
16.0,4,360
3.0,4,360
31.0,23,360
23.0,2,361
17.0,18,361
11.0,15,362
6.0,20,362
9.0,11,363
4.0,15,363
10.0,22,363
7.0,2,364
8.0,2,364
9.0,3,364
12.0,4,364
14.0,5,364
6.0,5,364
11.0,6,364
10.0,7,364
5.0,7,364
7.0,9,364
13.0,10,364
9.0,12,364
6.0,12,364
7.0,15,364
12.0,16,364
6.0,17,364
6.0,17,364
14.0,18,364
8.0,20,364
11.0,21,364
9.0,21,364
10.0,23,364
14.0,0,365
10.0,2,365
13.0,4,365
2.0,4,365
12.0,6,365
6.0,8,365
6.0,8,365
11.0,10,365
12.0,14,365
9.0,16,365
2.0,16,365
16.0,17,365
6.0,17,365
10.0,18,365
6.0,18,365
6.0,22,365
10.0,4,366
42.0,21,366
17.0,22,366
4.0,22,366
10.0,4,1
12.0,15,1
12.0,18,1
9.0,21,1
22.0,17,2
10.0,11,3
18.0,21,3
9.0,22,3
10.0,23,3
6.0,23,3
2.0,0,4
20.0,4,4
14.0,12,4
44.0,14,4
29.0,18,4
18.0,23,4
9.0,23,4
25.0,2,5
14.0,7,5
27.0,9,5
17.0,15,5
23.0,1,6
14.0,3,6
12.0,16,6
12.0,21,6
12.0,9,7
30.0,22,7
8.0,0,9
18.0,9,10
9.0,8,11
10.0,2,17
12.0,3,17
9.0,9,17
18.0,11,17
11.0,13,17
8.0,18,17
5.0,19,17
2.0,19,17
5.0,22,17
14.0,0,18
7.0,3,18
4.0,3,19
31.0,10,21
24.0,10,22
38.0,11,24
16.0,20,24
8.0,2,25
7.0,3,25
11.0,17,25
20.0,7,27
4.0,19,28
32.0,3,29
22.0,5,31
26.0,13,31
9.0,20,31
5.0,13,32
11.0,10,33
9.0,12,33
6.0,13,33
5.0,15,33
12.0,15,33
15.0,23,33
13.0,3,34
6.0,3,34
6.0,4,34
10.0,5,34
12.0,7,34
4.0,9,34
11.0,13,34
11.0,18,34
8.0,21,34
14.0,23,34
7.0,0,35
13.0,1,35
11.0,5,35
12.0,11,35
2.0,11,35
19.0,12,35
2.0,13,35
3.0,3,36
6.0,7,36
17.0,10,37
15.0,23,37
12.0,6,38
5.0,6,38
9.0,7,38
3.0,7,38
22.0,8,38
30.0,8,39
16.0,0,41
13.0,5,42
20.0,18,42
4.0,11,44
15.0,2,45
14.0,7,45
18.0,9,45
12.0,20,45
16.0,0,46
14.0,19,46
6.0,15,48
22.0,23,50
10.0,12,52
4.0,14,52
12.0,20,53
13.0,2,54
2.0,9,54
11.0,11,54
17.0,16,54
5.0,19,54
13.0,1,55
9.0,6,55
10.0,20,55
72.0,21,55
4.0,2,56
39.0,11,56
10.0,22,57
10.0,16,59
17.0,22,60
13.0,3,61
11.0,5,61
12.0,9,61
5.0,11,64
6.0,20,66
1.0,13,70
3.0,21,70
3.0,22,73
15.0,19,76
8.0,19,76
19.0,20,78
63.0,23,78
21.0,16,79
24.0,15,80
7.0,9,84
13.0,12,84
25.0,7,85
5.0,9,85
19.0,0,86
12.0,2,86
17.0,15,87
7.0,17,87
12.0,19,87
19.0,23,87
19.0,21,88
22.0,22,88
29.0,1,89
26.0,3,89
15.0,16,89
7.0,17,89
7.0,22,89
9.0,23,89
7.0,23,89
8.0,10,90
9.0,6,91
13.0,22,91
12.0,14,94
11.0,19,95
20.0,5,98
14.0,22,98
10.0,16,101
12.0,22,101
4.0,4,102
13.0,5,102
8.0,7,102
12.0,11,102
8.0,11,102
7.0,12,102
12.0,15,102
42.0,21,102
32.0,23,102
8.0,1,103
4.0,4,103
3.0,4,103
4.0,4,103
14.0,6,103
12.0,9,103
4.0,10,103
14.0,15,103
13.0,18,103
7.0,21,103
5.0,6,104
14.0,6,104
16.0,10,105
16.0,17,105
42.0,23,108
34.0,11,110
13.0,18,111
131.0,8,112
3.0,5,119
17.0,9,119
8.0,10,119
14.0,23,119
10.0,7,120
5.0,12,124
24.0,6,128
3.0,10,128
6.0,23,131
13.0,15,133
20.0,3,134
9.0,7,134
21.0,8,134
15.0,11,134
12.0,17,134
13.0,17,135
8.0,8,139
7.0,0,141
5.0,10,144
8.0,16,144
9.0,20,144
6.0,1,145
7.0,2,145
4.0,3,145
8.0,6,145
13.0,10,145
12.0,16,145
16.0,12,146
10.0,13,146
7.0,10,147
10.0,10,147
17.0,5,150
17.0,18,150
34.0,23,150
7.0,3,151
6.0,5,151
10.0,8,151
13.0,15,151
19.0,10,153
7.0,21,153
11.0,12,154
22.0,23,155
21.0,20,164
28.0,14,165
12.0,17,165
10.0,22,165
33.0,2,166
11.0,7,166
15.0,10,166
22.0,17,166
14.0,23,166
7.0,1,167
15.0,4,167
21.0,9,167
12.0,11,167
12.0,14,167
28.0,23,167
7.0,8,168
11.0,21,168
16.0,23,168
13.0,23,170
2.0,0,171
19.0,17,171
7.0,17,173
21.0,15,175
14.0,19,179
35.0,3,189
15.0,4,190
9.0,3,193
5.0,8,193
16.0,11,193
11.0,8,200
21.0,5,205
6.0,21,210
27.0,12,213
8.0,13,213
7.0,13,215
13.0,21,215
5.0,4,216
10.0,5,216
12.0,2,217
7.0,15,217
9.0,6,218
6.0,16,218
7.0,2,219
51.0,10,219
24.0,3,220
14.0,18,220
11.0,16,221
7.0,16,221
26.0,2,222
10.0,14,222
13.0,22,222
10.0,23,222
10.0,3,223
15.0,14,223
18.0,15,223
6.0,22,223
17.0,0,224
5.0,1,224
15.0,12,224
25.0,19,225
48.0,3,231
63.0,17,234
13.0,19,235
10.0,8,236
23.0,5,237
3.0,9,237
12.0,15,237
8.0,15,237
8.0,0,238
16.0,5,238
9.0,7,238
28.0,13,238
5.0,14,240
11.0,17,240
15.0,18,240
10.0,20,240
7.0,4,241
9.0,14,242
8.0,15,242
51.0,19,242
10.0,5,247
7.0,10,247
8.0,13,247
35.0,19,247
8.0,1,248
8.0,22,249
6.0,3,252
4.0,9,253
10.0,3,254
31.0,5,254
60.0,8,257
19.0,21,262
10.0,10,266
15.0,9,267
16.0,18,267
12.0,19,269
8.0,2,270
30.0,3,270
5.0,4,270
11.0,7,270
5.0,17,270
9.0,8,271
5.0,13,271
19.0,19,271
8.0,1,272
2.0,1,272
3.0,4,272
9.0,11,272
16.0,11,272
3.0,11,272
8.0,14,272
4.0,0,273
11.0,9,273
25.0,12,273
11.0,2,274
14.0,16,274
9.0,2,275
23.0,5,276
17.0,14,276
8.818707057119234,13,229
16.01609705106686,19,229
12.988318601733738,6,76
44.81104958465935,19,42
9.0,11,33
22.940418211053068,6,130
19.0,6,188
22.57450436913374,6,188
74.78455711749322,2,38
11.0,17,334
12.343560474775703,1,85
3.0,4,272
11.557590063519331,8,73
8.84068443374289,17,143
10.991192151598113,9,352
10.069931605709435,18,158
22.71966355234367,20,316
29.101967944498707,5,250
12.443128050079464,8,129
18.360263862206903,7,188
20.76917081084599,21,270
35.45685864488037,19,245
11.951624314095339,8,137
9.68596674528095,17,190
8.37847642348587,1,34
11.459390097078057,5,46
21.0316365650702,9,322
10.768238244011789,14,142
7.667139098944401,17,36
9.419524993283325,2,348
7.644930423568926,18,269
27.693325887638505,21,212
12.269920091182065,7,354
26.716135260414067,0,45
12.340955876347834,19,51
28.495743616942757,6,166
19.690756453584758,7,230
27.0,13,16
22.00123667975941,22,50
25.300853108353255,17,87
14.112581753934176,18,45
73.07307123960572,4,244
9.322316038291943,4,85
5.359487006052939,14,274
29.922493885884048,15,337
22.95994728814835,1,150
7.2628197749927565,2,165
13.314001952114916,2,207
8.512686567872267,6,346
6.671558443613037,0,18
10.27878743313817,9,351
19.51409453286416,12,74
6.787901988292265,15,345
13.594058576100622,22,118
45.0048125088248,9,16
10.493161568179517,6,337
11.637216082475922,6,76
7.189327099237451,21,356
13.764701943052883,12,343
10.0,3,252
9.341674501896922,9,196
17.761819051021973,3,185
41.731608842945015,16,226
21.760944667802736,20,351
4.4902757532483015,10,271
5.349427783534207,10,86
15.720296461528521,11,229
12.115225961795534,14,35
8.873336661723847,1,191
26.029414731887343,10,211
8.213724043242905,17,143
17.5524757060934,15,175
20.133150724342837,12,323
27.391042763058174,23,253
15.49884700081799,4,128
21.205642445141578,21,46
72.17545451891903,4,48
17.139750263863178,8,246
12.674303806409048,7,109
8.532481192559427,0,27
10.721422067328731,6,336
7.847668295653035,1,119
12.364052527293284,0,354
28.81873500407427,9,349
35.41977617722868,6,70
5.04578764995224,5,142
5.0,16,270
18.329156696511067,16,326
8.743937327367522,4,136
8.42695857106915,10,215
12.067269259523744,8,61
10.875816752483125,14,142
12.438063320413555,6,76
6.313727691194096,2,221
16.936290555666243,2,156
4.556792098470119,11,269
12.101738372707294,6,107
11.536008353728446,17,190
11.364937104246525,14,96
5.141607417196117,17,270
15.524397697753296,4,16
17.66630688583504,6,322
18.0259047109978,2,335
13.652361838663495,10,352
6.024430219387003,12,270
17.06979456653848,12,67
12.159930788718604,21,230
33.43706541330185,13,349
96.80680619886108,10,96
10.971453752808873,4,356
21.93644917388366,4,232
18.00884154078434,18,326
9.388763118746306,13,229
7.445654087346204,5,349
9.99933498775902,10,352
10.982312190386743,18,159
21.397446836157137,20,310
5.094394657433588,2,114
8.613539158840853,8,216
11.871117818642235,5,60
21.958912277959303,19,307
8.694042805323827,1,17
14.061593651924541,8,129
14.771267721719315,14,107
10.0,19,182
13.297355048236838,9,24
19.0,11,190
-1172.1680371346522,7,8
9.850740371325836,15,32
78.30583269265054,4,243
7.796162227564584,20,356
29.111168060743758,19,244
27.24249305532157,23,50
10.381948325712814,3,352
12.266379252026928,13,24
10.228894604846614,7,338
21.697936615688043,15,176
21.350368442572332,5,291
19.868762978311473,8,289
15.377105309753375,21,230
18.848015885249403,14,324
6.0,10,115
27.0,7,226
19.3568141382332,5,118
19.80516625090802,19,331
79.28818797776128,7,316
37.78055084165504,5,45
3.0,3,270
10.0,12,202
14.225842479328739,8,80
23.32559952065884,14,52
28.502839484570117,16,7
9.13380373627949,9,33
10.418580621623935,6,337
66.35459622623763,21,78
16.821482297799722,3,206
13.0,2,354
9.430915455475969,1,349
10.524207227969114,15,229
9.970501184734422,15,33
10.171516829773838,14,104
3.7414023879785274,10,126
27.0,7,226
7.129233359688172,17,42
8.085266418574065,13,212
7.114225702950423,0,24
21.0,1,230
5.292180246925016,7,115
41.99600300987171,21,46
11.467961443989239,5,108
13.701524444099647,11,36
13.12719976268745,0,82
42.32330196070209,9,78
33.10435250552212,8,104
21.08973611253419,15,313
10.0,3,252
41.315512132891584,6,226
11.859565231646945,9,72
9.354362329170847,18,257
22.131333428053154,4,112
13.133145004178097,22,140
26.080654233082157,21,230
50.11961780688834,6,267
15.485480272719355,0,46
17.764466153454688,8,322
4.076416859438051,3,144
15.83810314180415,5,14
37.13936223032435,9,104
7.759175298402353,17,34
22.249363390295354,5,127
30.174867804071297,7,59
8.009095793078036,6,347
12.454604360606737,8,246
13.849128973061683,17,360
9.0,5,7
13.995481754840402,5,303
30.240705149053632,7,108
18.4122972022805,9,190
7.739854359343918,22,237
11.964825813000393,10,345
31.464357513458488,23,50
7.095661640788211,16,42
12.15208739294982,7,141
9.238621772445516,2,349
5.681928931592639,7,143
25.802130558127587,16,308
9.316102601858418,10,33
54.53757872853787,18,108
52.81125563215328,3,119
4.38759523148277,4,143
11.847787746683823,7,35
21.008411591129725,19,354
23.91224987301201,6,239
14.0,9,36
64.35152803030302,8,243
33.22579319871555,19,245
14.587869069737229,15,177
13.801535825124303,9,129
18.98320673842904,18,42
30.03802034474425,22,66
8.970078201194216,21,212
11.917382336540731,6,106
22.941369653705955,4,106
7.898900824006235,15,144
11.607334170203318,17,67
38.22784241754311,4,78
13.951981699197585,11,36
9.334700796092857,17,358
9.031283098192208,15,38
5.510826969370439,5,318
5.739286700080084,3,318
14.6537284685707,15,175
4.919653036151858,10,86
10.478255294575924,8,337
7.416741610512473,15,169
9.033353489666116,10,147
21.751401422596963,1,235
9.846016659437282,11,311
15.658130095857048,11,230
6.027968994044921,8,87
19.39851409390296,19,319
14.041536283668425,16,78
11.0,9,335
12.686723126052383,12,24
17.82505749648012,12,67
20.66757611346058,19,230
9.598531575684365,9,196
10.714964903023086,4,356
9.255957339647868,12,312
14.149356416792909,19,298
18.279430409591072,2,118
9.672632397069396,17,156
24.17862607745768,4,112
66.79917075902543,9,53
18.35196455117271,7,188
5.992095677359773,3,312
18.974570220026212,10,190
13.977246201468411,9,358
91.48471247400356,10,77
12.36615504531011,3,61
7.241462680004323,6,225
9.741568379708182,1,348
3.0,7,131
10.636070763729824,20,51
27.221063371453727,15,345
24.870383672803577,7,190
5.755424282063007,3,271
27.34687935306642,18,321
6.1805945981753005,19,346
14.946141793001974,13,176
9.320059832520984,10,196
31.753187335913402,6,57
30.9226748067919,4,334
10.539556220495506,18,159
63.0956302371152,8,245
17.215887429292927,17,194
23.88821190330476,12,165
35.173162010609595,13,23
10.069740515746007,16,102
6.0,11,114
21.05473275396914,13,19
54.8642454594968,6,262
27.932917753523693,6,250
13.241814988923462,11,24
13.513152427846782,6,12
7.223881010674662,19,105
6.529653562792465,1,336
76.57489005459722,13,75
44.24994463483554,20,42
35.57717278328755,20,245
19.0,16,325
10.698598463235685,7,6
15.034910956253523,7,129
6.674126975446901,2,270
12.0,16,53
12.96684824605172,18,179
11.933057017075193,1,114
10.833706291746603,3,351
34.83627679639335,21,244
5.360550542174184,17,270
10.684879374443954,15,33
12.621857860015108,8,73
25.25765194942749,12,311
24.815118384480368,5,303
23.770043519317735,5,152
25.312115890120086,17,87
6.375259904442666,17,345
12.461304332656962,1,85
29.56513492692908,20,306
27.15195220886923,23,251
18.199819901410912,5,187
5.334639061305913,7,298
5.988968385737534,20,299
10.250454515531112,3,351
6.310734730777034,6,161
12.964863531434574,9,74
41.36217752638804,20,244
12.948177771019747,9,62
19.41095716230536,7,322
48.95899573023106,14,300
14.0,2,121
7.302368818668468,22,68
35.07701697902963,22,206
6.560799552294549,16,174
8.303254586147263,22,354
20.310885504203824,1,227
61.02174797299705,11,290
33.99060058237545,16,351
36.32441123539005,2,89
7.0,9,146
3.0,3,271
10.181319279925505,16,103
13.449305620998423,6,77
42.58603725188066,8,219
9.628687646948812,10,33
5.02021942499765,5,252
13.0,11,23
26.375175852478275,8,226
18.774561244536308,11,71
11.405886881957354,18,150
13.947196039531471,21,143
17.94639064897501,11,231
8.397475862651735,3,338
13.0,5,160
6.11466405634021,17,153
4.322108004229186,5,81
128.09332236993393,15,57
19.297999472298486,11,73
90.57420536353398,10,77
20.557047076608555,22,61
25.108184857323128,1,46
21.16063202057436,6,231
21.39895465867108,19,212
40.19555134622019,7,171
9.493850384576694,2,39
12.51049297069929,8,349
11.05797757404985,6,246
3.0,5,136
21.628577998126953,3,233
11.625422268973685,2,207
12.80136691581952,5,106
18.70023442808507,6,322
9.733615830042313,1,348
39.598887020983774,18,52
8.69392029706383,2,38
9.899573884238162,19,35
26.557504238301707,20,277
10.0,22,66
21.94226618685041,10,85
26.106482818144357,22,345
10.736097938710188,22,232
13.080108906515106,0,267
32.801251011722364,2,165
11.405872735149805,18,116
17.69664989476432,18,329
20.020353284966117,21,353
10.0,4,248
23.198992162221916,20,312
13.0,5,60
9.89464635467905,13,344
18.39534125504015,14,191
30.577701537254107,6,44
13.782581939851339,15,343
25.66318337950274,3,89
11.705456039751422,8,108
22.872293350371336,18,316
14.623085835263629,15,177
7.846931254449529,15,178
8.48090600075307,9,215
28.694458802233928,15,341
9.937353294215864,15,33
18.58796198467195,12,236
5.8935119378701195,2,117
11.099684055565882,3,66
11.80782666052075,20,53
66.72817057602519,2,131
5.659360809709693,12,113
9.00702920381362,9,33
21.885439497844754,21,351
33.97298667958359,21,245
5.788096448869441,9,298
6.202327940592541,7,87
10.76786917426337,16,115
7.888241736787993,3,252
13.946389494271337,3,259
17.58627155210619,1,261
28.0,14,165
21.217725735681014,1,228
13.930038971668866,10,72
